city,scenario,orders,avg_cost_to_serve,variable_cost_per_order,fixed_cost_per_order,avg_distance_km,breach_rate,on_time_rate,coverage_rate,monthly_fixed_total_inr,fitout_total_inr,active_facilities,new_sites,closures
Hyderabad,Current baseline,68583,71.30904516,52.41223399,18.89681131,2.15798635,0.24354432,0.75645568,0.67757316,648000.00000000,0.00000000,,,
Jaipur,Current baseline,38526,74.72388785,54.51415936,20.20972843,2.27457711,0.28640399,0.71359601,0.72551005,389300.00000000,0.00000000,,,
Pune,Current baseline,79047,70.66730285,52.48571468,18.18158817,2.22711676,0.22986325,0.77013675,0.77023796,718600.00000000,0.00000000,,,
Pune,Cost-floor option,79047,66.33521618,49.59580798,16.73940820,2.02715545,0.18019066,0.81980934,0.82958240,661600.00000000,1650000.00000000,6.00000000,1.00000000,PUN-02|PUN-07
Hyderabad,Cost-floor option,68583,70.55501095,51.23535448,19.31965647,2.06796034,0.22532107,0.77467893,0.67232405,662500.00000000,1580000.00000000,6.00000000,1.00000000,HYD-01
Jaipur,Cost-floor option,38526,74.72348602,54.51375752,20.20972850,2.27457711,0.28639059,0.71360941,0.72551005,389300.00000000,0.00000000,5.00000000,0.00000000,
