city,scenario,orders,active_facilities,new_sites,closures,avg_cost_to_serve,variable_cost_per_order,fixed_cost_per_order,avg_distance_km,breach_rate,on_time_rate,coverage_rate,monthly_fixed_total_inr,fitout_total_inr
Hyderabad,Current baseline,68583,6,0,,71.309045,52.412234,18.896811,2.157986,0.243544,0.756456,0.677573,648000.000000,0.000000
Jaipur,Current baseline,38526,5,0,,74.723888,54.514159,20.209728,2.274577,0.286404,0.713596,0.725510,389300.000000,0.000000
Pune,Current baseline,79047,7,0,,70.667303,52.485715,18.181588,2.227117,0.229863,0.770137,0.770238,718600.000000,0.000000
Pune,Recommended network,79047,6,1,PUN-02|PUN-07,66.335216,49.595808,16.739408,2.027155,0.180191,0.819809,0.829582,661600.000000,1650000.000000
Hyderabad,Recommended network,68583,7,1,,70.959653,48.085180,22.874473,1.833984,0.174910,0.825090,0.767129,784400.000000,1580000.000000
Jaipur,Recommended network,38526,6,1,,74.733965,49.182389,25.551576,1.886204,0.199299,0.800701,0.825131,492200.000000,1240000.000000
